session,method,gender,emotion,n_annotators,agreement,path,text,segment_id,video_id,mode
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,Fine.,0,Ses01F_script02_1,train
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F001.wav,[BREATHING],1,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F002.wav,What?,2,Ses01F_script02_1,train
1,script,F,sur,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F003.wav,What flashlight?,3,Ses01F_script02_1,train
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,That's not your flashlight.,4,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F005.wav,It's ours; it's my flashlight too.,5,Ses01F_script02_1,train
1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,You keep saying my flashlight like it's just yours.,6,Ses01F_script02_1,train
1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav,How's that supposed to make me feel?,7,Ses01F_script02_1,train
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav,Yeah.,8,Ses01F_script02_1,train
1,script,F,hap,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav,[LAUGHTER],9,Ses01F_script02_1,train
1,script,F,sad,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav,I'm cold.,10,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F011.wav,"It's after eleven, let's go.",11,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F012.wav,There is no point.,12,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F013.wav,That's my point.,13,Ses01F_script02_1,train
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F014.wav,"Well, then let's go.",14,Ses01F_script02_1,train
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav,Not particularly.,15,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F016.wav,I just don't.  It's stupid.,16,Ses01F_script02_1,train
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F017.wav,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.",17,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F018.wav,I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.,18,Ses01F_script02_1,train
1,script,F,fru,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F019.wav,Oh Augie,19,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F020.wav,I'm just not.,20,Ses01F_script02_1,train
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F021.wav,Yeah.,21,Ses01F_script02_1,train
1,script,F,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F022.wav,"Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions.",22,Ses01F_script02_1,train
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F023.wav,Hmm.  We didn't see them the year before either.,23,Ses01F_script02_1,train
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav,That's the wind.,24,Ses01F_script02_1,train
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,About what?,25,Ses01F_script02_1,train
1,script,M,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M000.wav,"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh.",0,Ses01F_script02_1,train
1,script,M,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M001.wav,"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",1,Ses01F_script02_1,train
1,script,M,exc,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M002.wav,"Okay.  Is that, is that--",2,Ses01F_script02_1,train
1,script,M,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M003.wav,No.  That's just foam.  I don't know.  I can't tell.,3,Ses01F_script02_1,train
1,script,M,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M004.wav,"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?",4,Ses01F_script02_1,train
1,script,M,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M005.wav,Oh no.  you know what I forgot?,5,Ses01F_script02_1,train
1,script,M,xxx,0,0,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M006.wav,"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight.",6,Ses01F_script02_1,train
1,script,M,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav,"The flashlight, the silver one.  There's only one, isn't there?",7,Ses01F_script02_1,train
1,script,M,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav,Whose is it?,8,Ses01F_script02_1,train
1,script,M,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav,"Oh...well. Yeah, of course.",9,Ses01F_script02_1,train
1,script,M,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav,No.,10,Ses01F_script02_1,train
1,script,M,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",11,Ses01F_script02_1,train
1,script,M,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M012.wav,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",12,Ses01F_script02_1,train
1,script,M,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav,Do they always run during a full moon?  I don't remember.  Was it full last year?,13,Ses01F_script02_1,train
